"이름","주최","분야","카테고리","모집 상태","접수 시작일","마감일","상금/혜택","링크","출처","태그","비고"
"사조 AI 숏폼 공모전","사조그룹","영상/숏폼","AI 숏폼 영상","마감 임박","2026-05-04","2026-06-14","총 상금 1,000만원 / 대상 300만원","https://www.wevity.com/index.php?c=find&s=_university&gbn=viewok&gp=1&ix=107046","수동보강","#AI영상, #숏폼, #사조","위비티 기준 수동 보강 항목입니다. 반드시 주최사 공고와 제출 링크를 함께 확인하세요."
"대한의사협회 제43차 종합학술대회 생성형 AI 영상 공모전","대한의사협회","영상/숏폼","생성형 AI 영상","마감 임박","2026-05-11","2026-06-19","대상 300만원 / 최우수상 각 200만원 / 우수상 각 100만원","https://www.wevity.com/index_university.php?c=find&s=_university&gbn=view&gp=4&ix=107252","수동보강","#생성형AI, #AI영상, #의료","주제는 'AI, 의사의 진심을 그리다'. 인상 깊었던 의사와의 진료 경험 등을 AI 영상으로 구현하는 공모전입니다."
"2026 부산광역시 공공데이터•AI 활용 창업경진대회","부산광역시/(재)부산테크노파크","생성형 AI","기획/아이디어, 광고/마케팅, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 취업/창업","모집중","2026-04-29","2026-06-25","3천만원~1천만원 / 250만원","https://www.busan.go.kr/nbgosi/view?sno=77670&gosiGbn=A&curPage=5","위비티","#위비티, #자동수집, #AI광고, #생성형AI","위비티에서 자동 수집한 공모전입니다. 접수기간, 제출 형식, 참가 조건은 공식 페이지에서 다시 확인하세요."
"2026 쉬운 우리말 쓰기 영상 제작 공모전","국어문화원연합회/","영상/숏폼","광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 문학/글/시나리오, 예체능/미술/음악","모집중","2026-05-01","2026-06-30","3천만원~1천만원 / 500만원","https://www.plainkorean.kr/ko/intro/notice.do?mode=view&articleNo=133719","위비티","#위비티, #자동수집, #AI광고, #AI이미지, #영상, #스토리","위비티에서 자동 수집한 공모전입니다. 접수기간, 제출 형식, 참가 조건은 공식 페이지에서 다시 확인하세요."
"경북국제 AI·메타버스 영상 공모전 (GAMFF 2026)","경상북도, 구미시, 포항시, 경산시 / 경북테크노파크","영상","AI·메타버스 영상","모집중","2026-03-16","2026-06-30","총 상금 1억원 (대상 2,000만원)","https://www.gamff.com","","#GAMFF, #경북, #AI영상","총 상금 1억원 (대상 2,000만원). AI 창작·게임·광고·숏폼 4개 부문. 일반부·대학생부·청소년부 별도 운영. 접수 2026.3.16~6.30."
"서울 디자인 AI 영상 공모전","서울특별시/서울디자인재단","영상/숏폼","광고/마케팅, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 예체능/미술/음악","모집중","2026-04-07","2026-06-30","3천만원~1천만원 / 1,000만원","https://ddp.or.kr/?menuno=245&siteno=2&cates=&boardno=22&act=view&bbsno=2132","위비티","#위비티, #자동수집, #AI광고, #AI이미지, #영상, #생성형AI","위비티에서 자동 수집한 공모전입니다. 접수기간, 제출 형식, 참가 조건은 공식 페이지에서 다시 확인하세요."
"AI Art Championship 2026","AI Art Championship","이미지","AI 아트·이미지","모집중","2026-01-01","2026-06-30","Prize Pool","https://www.aiartchampionship.com","","#AI아트, #이미지생성, #글로벌","'Visions in Motion' 주제의 국제 AI 아트 공모전. 움직임, 변형, 상상력 탐구."
"2026년 대한민국 AI 콘텐츠 어워즈","경기도 / 경기콘텐츠진흥원","영상/숏폼","생성형 AI 영상·콘텐츠","모집중","2026-06-02","2026-07-12","1등 800만원 / 2등 300만원 등","https://www.gcon.or.kr/gcon/business/gconNotice/view.do?pbancSrnm=11173&menuNo=200061","수동보강","#생성형AI, #AI영상, #콘텐츠어워즈","경기콘텐츠진흥원 공고와 FilmFreeway 접수 페이지를 함께 확인하세요. FilmFreeway: https://filmfreeway.com/KAICA"
"2026년 전주MBC K-하이테크 플랫폼 제2회 가상현실 공간 창작 공모전","전주MBC K-하이테크 플랫폼/","영상/숏폼","기획/아이디어, 영상/UCC/사진, 웹/모바일/IT, 게임/소프트웨어, 과학/공학, 건축/건설/인테리어, 기타","모집중","2026-06-15","2026-07-14","3천만원~1천만원 / 맥북 (300만원 상당) + 도지사상","https://khp.jmbc.co.kr/bbs/board.php?bo_table=notice&wr_id=20","위비티","#위비티, #자동수집, #AI이미지, #영상","위비티에서 자동 수집한 공모전입니다. 접수기간, 제출 형식, 참가 조건은 공식 페이지에서 다시 확인하세요."
"2026 한국수력원자력 기업이미지 공모전","한국수력원자력/","AI 이미지","광고/마케팅, 디자인/캐릭터/웹툰, 웹/모바일/IT, 과학/공학, 예체능/미술/음악, 기타","모집중","2026-06-01","2026-07-30","3천만원~1천만원 / 500만원","https://www.khnp.co.kr/main/selectWebEventManageView.do?key=382&ntcobSeq=283","위비티","#위비티, #자동수집, #AI광고, #AI이미지","위비티에서 자동 수집한 공모전입니다. 접수기간, 제출 형식, 참가 조건은 공식 페이지에서 다시 확인하세요."
